date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
11/3/2013,2013,0,0,BUF,KC,1422.867,1526.61,0.4444743,13,23,0
11/3/2013,2013,0,0,LAR,TEN,1449.133,1451.341,0.589393766,21,28,0
11/4/2013,2013,0,0,GB,CHI,1644.151,1520.899,0.747187041,20,27,0
11/7/2013,2013,0,0,MIN,WSH,1405.635,1477.751,0.489760685,34,27,1
11/10/2013,2013,0,0,ARI,HOU,1466.66,1460.806,0.600576654,27,24,1
11/10/2013,2013,0,0,GB,PHI,1610.169,1439.997,0.794743475,13,27,0
11/10/2013,2013,0,0,NO,DAL,1593.652,1539.639,0.664874653,49,17,1
11/10/2013,2013,0,0,NYG,OAK,1460.136,1361.123,0.719934095,24,20,1
11/10/2013,2013,0,0,TEN,JAX,1476.574,1240.332,0.849934618,27,29,0
11/10/2013,2013,0,0,PIT,BUF,1454.1,1401.919,0.662520797,23,10,1
11/10/2013,2013,0,0,CHI,DET,1554.882,1506.942,0.657040862,19,21,0
11/10/2013,2013,0,0,SF,CAR,1647.429,1592.42,0.666150947,9,10,0
11/10/2013,2013,0,0,ATL,SEA,1489.022,1677.698,0.329171133,10,33,0
11/10/2013,2013,0,0,LAC,DEN,1496.073,1675.198,0.341423665,20,28,0
11/10/2013,2013,0,0,BAL,CIN,1564.659,1592.008,0.553973029,20,17,1
11/10/2013,2013,0,0,IND,LAR,1592.904,1423.901,0.793643571,8,38,0
11/11/2013,2013,0,0,TB,MIA,1362.004,1495.85,0.40219936,22,19,1
11/14/2013,2013,0,0,TEN,IND,1454.936,1531.909,0.482776285,27,30,0
11/17/2013,2013,0,0,PIT,DET,1471.012,1522.16,0.519924075,37,27,1
11/17/2013,2013,0,0,PHI,WSH,1488.193,1456.462,0.635718375,24,16,1
11/17/2013,2013,0,0,NYG,GB,1468.526,1561.973,0.459152713,27,13,1
11/17/2013,2013,0,0,NO,SF,1615.884,1637.661,0.561883971,23,20,1
11/17/2013,2013,0,0,JAX,ARI,1261.97,1477.389,0.296112026,14,27,0
11/17/2013,2013,0,0,HOU,OAK,1450.077,1352.734,0.717991684,23,28,0
11/17/2013,2013,0,0,DEN,KC,1689.462,1547.557,0.766927181,27,17,1
11/17/2013,2013,0,0,CIN,CLE,1579.85,1442.478,0.762230426,41,20,1
11/17/2013,2013,0,0,CHI,BAL,1539.664,1576.817,0.53998946,23,20,1
11/17/2013,2013,0,0,BUF,NYJ,1385.008,1448.786,0.501758592,37,14,1
11/17/2013,2013,0,0,TB,ATL,1379.114,1469.213,0.463942339,41,28,1
11/17/2013,2013,0,0,MIA,LAC,1478.74,1481.809,0.588193766,20,16,1
11/17/2013,2013,0,0,SEA,MIN,1697.507,1426.924,0.873445317,41,20,1
11/18/2013,2013,0,0,CAR,NE,1602.187,1658.347,0.512719038,24,20,1
11/21/2013,2013,0,0,ATL,NO,1440.593,1627.797,0.331044934,13,17,0
11/24/2013,2013,0,0,HOU,JAX,1422.298,1247.341,0.799200271,6,13,0
11/24/2013,2013,0,0,NE,DEN,1642.725,1699.679,0.511577055,34,31,1
11/24/2013,2013,0,0,MIA,CAR,1491.632,1617.809,0.412857968,16,20,0
11/24/2013,2013,0,0,BAL,NYJ,1564.223,1417.135,0.77221779,19,3,1
11/24/2013,2013,0,0,OAK,TEN,1380.513,1441.623,0.505597926,19,23,0
11/24/2013,2013,0,0,NYG,DAL,1498.202,1517.406,0.565526688,21,24,0
11/24/2013,2013,0,0,GB,MIN,1532.296,1420.136,0.73493655,26,26,0.5
11/24/2013,2013,0,0,CLE,PIT,1429.017,1493.891,0.500181329,11,27,0
11/24/2013,2013,0,0,ARI,IND,1492.018,1545.222,0.516969289,40,11,1
11/24/2013,2013,0,0,DET,TB,1499.281,1407.734,0.711187203,21,24,0
11/24/2013,2013,0,0,LAR,CHI,1484.896,1552.259,0.496599422,42,21,1
11/24/2013,2013,0,0,KC,LAC,1537.34,1468.917,0.683097734,38,41,0
11/25/2013,2013,0,0,WSH,SF,1441.128,1625.748,0.334347237,6,27,0
11/28/2013,2013,0,0,DAL,OAK,1533.419,1364.21,0.793837712,31,24,1
11/28/2013,2013,0,0,DET,GB,1478.052,1525.131,0.525767544,40,10,1
11/28/2013,2013,0,0,BAL,PIT,1575.995,1522.235,0.664550069,22,20,1
12/1/2013,2013,0,0,KC,DEN,1517.178,1686.186,0.35463701,28,35,0
12/1/2013,2013,0,0,SF,LAR,1645.352,1516.05,0.753708932,23,13,1
12/1/2013,2013,0,0,LAC,CIN,1489.079,1593.31,0.443780781,10,17,0
12/1/2013,2013,0,0,WSH,NYG,1421.524,1482.189,0.506238243,17,24,0
12/1/2013,2013,0,0,PHI,ARI,1503.527,1524.7,0.562739696,24,21,1
12/1/2013,2013,0,0,NYJ,MIA,1405.362,1478.702,0.48800008,3,23,0
12/1/2013,2013,0,0,MIN,CHI,1427.301,1521.105,0.458642421,23,20,1
12/1/2013,2013,0,0,HOU,NE,1384.991,1656.218,0.233771186,31,34,0
12/1/2013,2013,0,0,IND,TEN,1512.539,1457.926,0.665643795,22,14,1
12/1/2013,2013,0,0,CLE,JAX,1400.673,1284.648,0.739247996,28,32,0
12/1/2013,2013,0,0,CAR,TB,1630.739,1428.963,0.822836736,27,6,1
12/1/2013,2013,0,0,BUF,ATL,1416.659,1430.498,0.573099012,31,34,0
12/2/2013,2013,0,0,SEA,NO,1704.295,1637.892,0.680575206,34,7,1
12/5/2013,2013,0,0,JAX,HOU,1310.577,1379.065,0.494980533,27,20,1
12/8/2013,2013,0,0,TB,BUF,1419.195,1400.391,0.618317886,27,6,1
12/8/2013,2013,0,0,BAL,MIN,1582.988,1442.51,0.765455626,29,26,1
12/8/2013,2013,0,0,DEN,TEN,1700.269,1443.991,0.864059558,51,28,1
